aqs,latitude,longitude,cbsa_name,state_name,county_name,local_site_name
421010048,39.991389,-75.080833,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Philadelphia,North East Waste (NEW)
420910013,40.112222,-75.309167,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Montgomery,A420910013LAT/LON POINT IS OF CORNER OF TRAILER
421010024,40.076389,-75.011944,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Philadelphia,North East Airport (NEA)
420170012,40.107222,-74.882222,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Bucks,A420170012LAT/LONG POINT IS OF SAMPLING INLET
421010004,40.008889,-75.09778,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Philadelphia,Air Management Services Laboratory (AMS LAB)
420290100,39.834461,-75.768242,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Chester,CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA
420450002,39.835556,-75.3725,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Delaware,A420450002LAT/LON POINT IS OF CORNER OF TRAILER
340130003,40.720989,-74.192892,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Essex,Newark Firehouse
340030006,40.870436,-73.991994,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Bergen,Leonia
340071001,39.68425,-74.861491,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Jersey,Camden,Ancora State Hospital
340290006,40.06483,-74.44405,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Ocean,Colliers Mills
340315001,41.058617,-74.255544,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Passaic,Ramapo
340273001,40.787628,-74.676301,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Morris,Chester
340250005,40.277647,-74.0051,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Monmouth,Monmouth University
340170006,40.67025,-74.126081,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Hudson,Bayonne
340070002,39.934559,-75.125219,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Jersey,Camden,Camden Spruce Street
340230011,40.462182,-74.429439,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Middlesex,Rutgers University
340150002,39.800339,-75.212119,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Jersey,Gloucester,Clarksboro
340190001,40.515262,-74.806671,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Hunterdon,Flemington
240330030,39.055277,-76.878333,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Prince George's,HU-Beltsville
240339991,39.0284,-76.8171,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Prince George's,Beltsville
240090011,38.536722,-76.617194,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Calvert,Calvert
240170010,38.508547,-76.811864,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Charles,Southern Maryland
240338003,38.81194,-76.74417,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Prince George's,PG Equestrian Center
240031003,39.169533,-76.627933,"Baltimore-Columbia-Towson, MD",Maryland,Anne Arundel,GLEN BURNIE
240313001,39.114313,-77.106876,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Montgomery,Rockville
240251001,39.410191,-76.296946,"Baltimore-Columbia-Towson, MD",Maryland,Harford,Edgewood
240150003,39.702982,-75.864771,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Maryland,Cecil,Fair Hill Natural Resource Management Area
240051007,39.460478,-76.633543,"Baltimore-Columbia-Towson, MD",Maryland,Baltimore,Padonia
240259001,39.563333,-76.203889,"Baltimore-Columbia-Towson, MD",Maryland,Harford,Aldino
240210037,39.42276,-77.37519,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,Frederick,Frederick Airport
240130001,39.444294,-77.042252,"Baltimore-Columbia-Towson, MD",Maryland,Carroll,South Carroll
245100054,39.328807,-76.553075,"Baltimore-Columbia-Towson, MD",Maryland,Baltimore (City),Furley
240053001,39.310833,-76.474444,"Baltimore-Columbia-Towson, MD",Maryland,Baltimore,Essex
100032004,39.739444,-75.558056,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware,New Castle,MLK  CORNER OF MLK BLVD AND JUSTISON ST
100031007,39.5513,-75.732,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware,New Castle,Lums Pond
