State,SiteName,aqs
CT,Greenwich,90010017
CT,Danbury,90011123
CT,Stratford,90013007
CT,Westport,90019003
CT,East Hartford,90031003
CT,Cornwall,90050005
CT,Middletown,90070007
CT,New Haven,90090027
CT,Madison,90099002
CT,Groton Fort Griswold,90110124
CT,Stafford,90131001
DE,Killens,100010002
DE,LUMS2,100031007
DE,BELLFNT2,100031013
DE,Seaford,100051002
DE,Lewes,100051003
DC,McMillan,110010043
DC,TakomaRec,110010050
ME,Cape Elizabeth,230052003
ME,Bar Harbor-Cadillac Mt Summit,230090102
ME,Bar Harbor-McFarland Hill-0103,230090103
ME,Port Clyde-Marshall Pt,230130004
ME,Kennebunkport,230312002
MD,GLEN BURNIE,240031003
MD,Padonia,240051007
MD,Essex,240053001
MD,Hart_Miller_Island,240053474
MD,South Carroll,240130001
MD,Fair Hill,240150003
MD,Southern Maryland,240170010
MD,Horn Point,240190004
MD,Blackwater NWR,240199991
MD,Frederick Co.,240210037
MD,Piney Run,240230002
MD,Edgewood,240251001
MD,Aldino,240259001
MD,Millington,240290002
MD,Rockville,240313001
MD,HU-Beltsville,240330030
MD,Prince Georges Co. Equestrian Ctr,240338003
MD,Beltsville,240339991
MD,Hagerstown,240430009
MA,Truro,250010002
MA,Fairhaven2,250051006
MA,Wampanoag Laboratory - Martha's Vineyard,250070001
MA,Lynn,250092006
MA,Chicopee,250130008
MA,Ware,250154002
MA,Chelmsford LAB,250170009
MA,Brockton,250230005
MA,Boston-Roxbury,250250042
MA,Worcester,250270015
MA,Uxbridge,250270024
NH,Mt Washington Base,330074002
NH,Mt Washington Summit,330074001
NH,Nashua-Gilson,330111011
NH,Peterborough-Miller State Park,330115001
NH,Concord-B,330131007
NH,Portsmouth-Pierce Island,330150014
NH,Rye-Odiorne State Park,330150016
NH,Londonderry-Moose Hill,330150018
NJ,Brigantine,340010006
NJ,Leonia,340030006
NJ,Camden-Spruce St,340070002
NJ,Ancora,340071001
NJ,Millville,340110007
NJ,Newark Firehouse,340130003
NJ,Clarksboro,340150002
NJ,Bayonne,340170006
NJ,Flemington,340190001
NJ,Rider U,340210005
NJ,Wash Crossing,340219991
NJ,Rutgers U,340230011
NJ,Monmouth U,340250005
NJ,Chester,340273001
NJ,Colliers Mills,340290006
NJ,Ramapo,340315001
NJ,Columbia Wildlife Management Area,340410007
NY,NYC-IS52,360050110
NY,NYBG-Bronx-combined (0133 0083),360050133
NY,Dunkirk,360130006
NY,Millbrook,360270007
NY,Amherst,360290002
NY,Whiteface Mountain Summit,360310002
NY,Rochester-B,360551007
NY,NYC-CCNY,360610135
NY,Middleport,360631006
NY,E Syracuse,360671015
NY,Valley Central High School,360715001
NY,Mt Ninham,360790005
NY,NYC-Queens,360810124
NY,Rockland County,360870005
NY,Babylon,361030002
NY,Riverhead,361030004
NY,Suffolk County-combined,361030009
NY,Williamson,361173001
NY,White Plains,361192004
PA,AREN,420010001
PA,Arendtsville,420019991
PA,BAPC 301 39TH STREET BLDG #7,420030008
PA,South Fayette,420030067
PA,Harrison Township-combined (1008 1005),420031008
PA,Kittanning,420050001
PA,HOOK,420070002
PA,BRI1,420070005
PA,Beaver Falls,420070014
PA,REA3,420110011
PA,Altoona,420130801
PA,Bristol,420170012
PA,Penn State,420279991
PA,NEWG,420290100
PA,Harrisburg,420430401
PA,Hershey,420431100
PA,Chester,420450002
PA,Erie,420490003
PA,Strongstown,420630004
PA,Scranton,420692006
PA,Lancaster,420710007
PA,LAN1,420710012
PA,New Castle,420730015
PA,Allentown,420770004
PA,Wilkes-Barre,420791101
PA,Farrell,420850100
PA,MK  Goddard,420859991
PA,Pocono,420890002
PA,Norristown,420910013
PA,FREE,420950025
PA,NEA,421010024
PA,NEW,421010048
PA,Charleroi,421250005
PA,Houston,421255001
PA,Greensburg,421290008
PA,York,421330008
RI,Alton Jones Campus,440030002
RI,Myron Francis School,440071010
RI,USEPA Laboratory,440090007
VT,Bennington,500030004
VT,Underhill,500070007
VA,Aurora Hills,510130020
VA,Franconia,510590030
VA,ASHBURN,511071005
VA,JAMES S.LONG PARK,511530009
PA,LAB,421010004
DE,MLK,100032004
DE,Brandywine,100031010
MD,Furley,245100054
CT,Middletown-CVH,90079007
NY,Fresh Kills West,360850111
NY,Flax Pond,361030044
VA,Fauquier,510610002
VA,Widewater ES,511790001
DC,River Terrace,110010041
MD,Calvert,240090011
CT,Abington,90159991
RI,East Matunuck,440090008
